LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-117.7722844,33.739206,53,ELIZABETH LN,,,,,,,fecbb47953fd5c4c
-117.7675805,33.7458288,40,MILLGROVE,,,,,,,fc95039c51c718ab
-117.7688409,33.7453345,45,BRADFORD,,,,,,,fb06544614805a8a
-117.7664857,33.7450436,18,AMBERHILL,,,,,,,e5cc675987f1a0c9
-117.7688751,33.7444955,57,BELLEVUE,,,,,,,bc138b4fcb00551b
-117.7696255,33.7440889,40,ARDMORE,,,,,,,6d600314d8b92192
-117.768245,33.7438096,23,APPLETON,,,,,,,7a7b81bad0a2af1f
-117.7677361,33.7434579,15,APPLETON,,,,,,,8be48c04cc21fdba
-117.7686581,33.7431121,32,LANGFORD,,,,,,,12cb2983427e5ace
-117.7704876,33.7428419,52,LINHAVEN,,,,,,,c94b2382d83aa82e
-117.7688116,33.7425985,20,EASTHAVEN,,,,,,,5cf9bb863b167ceb
-117.7685503,33.742434,16,EASTHAVEN,,,,,,,9f56fe3416b7803c
-117.7702193,33.7422075,39,LINHAVEN,,,,,,,6c28ae2af5eb1b4c
-117.7721061,33.7420184,22,CARRIAGE DR,,,,,,,26a401d4090369d9
-117.7712027,33.7418064,17,ROBINS TREE LN,,,,,,,67badb23c4684f2e
-117.7708983,33.7416099,18,ROBINS TREE LN,,,,,,,f32e78f9824a2d9e
-117.7723491,33.7414216,18,HIDDEN BROOK,,,,,,,c3711a65578b553e
-117.7734724,33.7412344,19,ELIZABETH LN,,,,,,,7aec2454142b1b59
-117.7718943,33.7411046,10,HIDDEN BROOK,,,,,,,d1f1edf834a362c5
-117.7729085,33.7409404,9,ELIZABETH LN,,,,,,,158c41539479de7e
-117.7703885,33.7408165,75,COPPERLEAF,,,,,,,ee71e428d4463bed
-117.7683783,33.7406794,24,COPPERLEAF,,,,,,,cc6ac7adca13995a
-117.7715076,33.740433,87,BRIAR LN,,,,,,,c27d83953e23061b
-117.7691755,33.7402864,11,WINDARBOR LN,,,,,,,667e269c68e04822
-117.7722899,33.7400347,99,BRIAR LN,,,,,,,e0c2639d3b114158
-117.7741946,33.7392956,16,TRADITION PL,,,,,,,b73be0b387a51af2
-117.7752806,33.7391705,6,NATIONAL PL,,,,,,,4cfeaffc8c6c85fc
-117.7740758,33.7391987,18,TRADITION PL,,,,,,,29fee280aef34db2
-117.7681684,33.7448667,1,BRADFORD,,,,,,,f8b2110005307a7c
-117.7665179,33.7449101,16,AMBERHILL,,,,,,,c4e466c34ade586b
-117.7690789,33.7446368,58,ARDMORE,,,,,,,ece4d0974b7f8590
-117.7703355,33.7439537,21,ARDMORE,,,,,,,38004ace837f79f9
-117.7683779,33.7438843,25,APPLETON,,,,,,,f8b94813e23707ea
-117.7692273,33.7438117,21,BELLEVUE,,,,,,,b15b5a3f92576439
-117.771456,33.7431457,66,LINHAVEN,,,,,,,56df064422bfce08
-117.7703756,33.742766,50,LINHAVEN,,,,,,,4a72d48574361983
-117.7702578,33.7426858,48,LINHAVEN,,,,,,,13c3fe6c5a5f6eb6
-117.7704492,33.7423637,43,LINHAVEN,,,,,,,5cd5535908b9be02
