zpid,street,zipcode,city,state,latitude,longitude,FIPScounty,propertyType,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,lastSoldDate,lastSoldPrice,zestimatePrice
25521444,53 Elizabeth Ln,92602,Irvine,CA,33.739205,-117.772281,6059,SingleFamily,1999,4350,3105,3.0,4,10/25/1999,426500,1224573
51631871,40 Millgrove,92602,Irvine,CA,33.74586,-117.767541,6059,SingleFamily,2000,5453,2441,3.0,4,05/11/2018,1110000,1127081
51675090,45 Bradford,92602,Irvine,CA,33.744893,-117.768774,6059,Condominium,1999,,1638,3.0,3,03/29/2012,490000,743794
51631987,18 Amberhill,92602,Irvine,CA,33.745035,-117.76644,6059,SingleFamily,2000,4663,3200,3.0,4,01/25/2017,1230000,1351558
51675066,57 Bellevue,92602,Irvine,CA,33.744436,-117.769375,6059,Condominium,1999,,1817,2.5,4,09/05/2001,350000,745734
54979307,40 Ardmore,92602,Irvine,CA,33.744466,-117.769289,6059,Condominium,2000,2178,1640,3.0,3,12/30/2016,685000,755926
51631933,23 Appleton,92602,Irvine,CA,33.743832,-117.768211,6059,SingleFamily,1999,5041,2679,2.5,4,01/24/2000,391000,1128882
51631937,15 Appleton,92602,Irvine,CA,33.74348,-117.767706,6059,SingleFamily,2000,5039,2700,2.5,4,07/25/2017,1010000,1071159
51631927,32 Langford,92602,Irvine,CA,33.743094,-117.768624,6059,SingleFamily,2001,5075,3000,3.0,4,08/05/2011,780000,1160463
25521169,52 Linhaven,92602,Irvine,CA,33.742851,-117.77048,6059,SingleFamily,1999,5500,2236,3.0,4,10/12/1999,334500,957467
51631902,20 Easthaven,92602,Irvine,CA,33.74259,-117.76881,6059,SingleFamily,1999,4302,2691,2.5,4,02/10/2000,393500,1126915
51631904,16 Easthaven,92602,Irvine,CA,33.742404,-117.768569,6059,SingleFamily,2000,4787,2441,2.5,4,11/19/2004,762500,1069649
25521230,39 Linhaven,92602,Irvine,CA,33.742221,-117.770207,6059,SingleFamily,1999,3465,2480,2.5,3,12/13/1999,367000,983280
25521180,22 Carriage Dr,92602,Irvine,CA,33.742033,-117.772084,6059,SingleFamily,1998,4596,2480,2.5,3,05/21/1999,341000,991737
25521148,17 Robins Tree Ln,92602,Irvine,CA,33.741794,-117.771203,6059,SingleFamily,1999,3937,2015,2.5,4,02/27/2001,406000,950998
25521212,18 Robins Tree Ln,92602,Irvine,CA,33.741619,-117.770894,6059,SingleFamily,1999,3060,1876,2.5,4,10/24/2001,408000,837208
25521173,18 Hidden Brk,92602,Irvine,CA,33.741415,-117.77235,6059,SingleFamily,1999,4094,2480,2.5,4,04/06/2018,1020000,1040347
25521099,19 Elizabeth Ln,92602,Irvine,CA,33.74123,-117.773454,6059,SingleFamily,1999,7815,2900,2.5,5,05/20/2003,610000,1193236
25521177,10 Hidden Brk,92602,Irvine,CA,33.741078,-117.771882,6059,SingleFamily,1999,4791,2500,2.5,4,06/06/2017,998000,1068629
