zpid,street,zipcode,city,state,latitude,longitude,FIPScounty,propertyType,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,lastSoldDate,lastSoldPrice,zestimatePrice
82954141,38 N Almaden Blvd UNIT 1806,95110,San Jose,CA,37.335078,-121.895462,6085,Condominium,2008,43560,790,1,1,3/15/13,26337443,607910
69223010,1550 Technology Dr UNIT 1060,95110,San Jose,CA,37.363771,-121.913115,6085,Condominium,2005,914,914,1,1,3/9/17,488000,547863
82951358,38 N Almaden Blvd UNIT 1807,95110,San Jose,CA,37.335078,-121.895462,6085,MultiFamily2To4,2009,164,890,1,1,5/13/16,679000,700950
2095345489,250 Brandon St APT 100,95134,San Jose,CA,37.40237,-121.943012,,Apartment,2015,5837,1156,2,2,,,
82948768,38 N Almaden Blvd UNIT 1808,95110,San Jose,CA,37.335078,-121.895462,6085,MultiFamily5Plus,2008,164,799,1,1,3/15/13,26337443,
82962131,38 N Almaden Blvd UNIT 1809,95110,San Jose,CA,37.335078,-121.895462,6085,Condominium,2008,164,852,1,1,3/30/17,665000,784299
2140022129,165 Blossom Hill Rd SPC 181,95123,San Jose,CA,37.255861,-121.806983,,Mobile,1996,1742,1550,2,3,9/30/19,219000,299582
69303456,1060 S 3rd St APT 181,95112,San Jose,CA,37.322033,-121.876752,6085,MultiFamily5Plus,2005,750,667,1,1,3/18/11,151000,
153501169,6130 Monterey Hwy,95138,San jose,CA,37.232842,-121.763341,6085,Mobile,2014,113692,1801,2,0,9/11/19,1046000,267759
153510148,165 Danze Dr,95111,San Jose,CA,37.260224,-121.804524,6085,Duplex,1965,6600,1915,2,0,2/2/09,390000,950156
89474798,88 E San Fernando St UNIT 1810,95113,San Jose,CA,37.334751,-121.887536,6085,Condominium,2008,279,889,1,1,6/13/12,435000,609630
82962905,38 N Almaden Blvd UNIT 1811,95110,San Jose,CA,37.335078,-121.895462,6085,Condominium,2008,164,1333,2,2,12/3/15,1003000,1097409
300476647,2390 Lucretia Ave APT 1812,95122,San Jose,CA,37.314066,-121.839997,6085,MultiFamily5Plus,1985,2186,862,,0,,,
19729199,1813 S White Rd,95127,San Jose,CA,37.345115,-121.809548,6085,SingleFamily,1969,6720,1287,2,3,5/25/77,48750,733989
19689420,1814 Kirklyn Dr,95124,San Jose,CA,37.280998,-121.917481,6085,SingleFamily,1966,8030,2692,3,4,4/14/88,144000,1642930
19689487,1814 Schooldale Dr,95124,San Jose,CA,37.278883,-121.916963,6085,SingleFamily,1973,7950,1841,2,4,4/14/88,144000,1468951
19686648,1814 Bird Ave,95125,San Jose,CA,37.300784,-121.884613,6085,SingleFamily,1950,5000,891,1,2,4/14/88,144000,989749
19689159,1814 Greencreek Dr,95124,San Jose,CA,37.281036,-121.921684,6085,SingleFamily,1968,7056,2237,2,4,4/14/88,144000,1474518
19678565,1815 White Oaks Rd,95008,Campbell,CA,37.261623,-121.94922,6085,SingleFamily,1955,7936,1759,2,3,3/21/14,905000,1301062
59683278,1816 Regina Way,95008,Campbell,CA,37.269145,-121.982278,6085,SingleFamily,1955,9147,1015,1,3,3/6/87,124000,1218589
19587937,320 N 1st St APT 1,95008,Campbell,CA,37.291578,-121.944473,6085,Apartment,1971,2000,1500,1,1,9/4/97,146000,
19689862,1817 Comstock Ln,95124,San Jose,CA,37.276237,-121.917508,6085,SingleFamily,1963,6180,2360,4,5,2/22/17,1320000,1490613
19562657,1817 Flickinger Ave,95131,San Jose,CA,37.39509,-121.883261,6085,SingleFamily,1973,6160,1234,2,4,10/20/10,457000,980008
19689502,1817 Schooldale Dr,95124,San Jose,CA,37.27885,-121.917597,6085,SingleFamily,1973,7971,1696,2,3,5/23/14,1035000,1336610
19729040,1818 S Capitol Ave,95127,San Jose,CA,37.342926,-121.818549,6085,SingleFamily,1972,6000,1088,1,3,11/14/11,265500,669898
82962059,1819 W Hacienda Ave,95008,Campbell,CA,37.268361,-121.982604,6085,SingleFamily,2006,10343,3313,3.5,4,1/2/08,1470000,2594887
19836544,18190 Almaden Expy,95120,San Jose,CA,37.211956,-121.84798,6085,SingleFamily,1959,34310,2603,3,3,3/27/14,1020000,1664455
2097016907,1700 Newbury Park Dr APT 182,95133,San Jose,CA,37.365482,-121.867041,,Apartment,2016,11921,1042,2,2,10/18/00,470000,
2091660759,1070 Foxchase Dr # 182,95123,San Jose,CA,37.252674,-121.872882,,MultiFamily5Plus,1988,11921,940,2,2,10/18/00,470000,
153501176,6130 Monterey Hwy,95138,San jose,CA,37.232842,-121.763341,6085,Mobile,2014,2099156,1801,2,0,6/27/14,830000,345686
19842331,182 Avenida Espana,95139,San Jose,CA,37.222294,-121.767421,6085,SingleFamily,1972,6050,1822,3,4,10/18/00,470000,921481
19790738,1820 Deep Creek Ct,95148,San Jose,CA,37.351719,-121.795012,6085,SingleFamily,1982,2012,1720,2.5,3,6/27/18,780000,712078
82952998,1820 Camino Leonor,95131,San Jose,CA,37.390451,-121.889002,6085,Condominium,2007,1306,1307,2,2,3/29/12,405000,777395
