,name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
0,alienswarm,630.0,2010-07-19,1.0,Valve,Valve,windows,0.0,Single-player;Multi-player;Co-op;Steam Achievements;Captions available;Steam Cloud;Stats;Includes level editor,Action,Free to Play;Co-op;Action,66.0,17435.0,941.0,371.0,83.0,2000000-5000000,0.0
1,citiesskylines,255710.0,2015-03-10,1.0,Colossal Order Ltd.,Paradox Interactive,windows;mac;linux,0.0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Simulation;Strategy,City Builder;Simulation;Building,97.0,67553.0,6005.0,3225.0,444.0,5000000-10000000,22.99
2,counterstrike,10.0,2000-11-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0.0,124534.0,3339.0,17612.0,317.0,10000000-20000000,7.19
3,counterstrikesource,240.0,2004-11-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK,Action,Action;FPS;Multiplayer,147.0,76640.0,3497.0,6842.0,400.0,10000000-20000000,7.19
4,dayofdefeat,30.0,2003-05-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Valve Anti-Cheat enabled,Action,FPS;World War II;Multiplayer,0.0,3416.0,398.0,187.0,34.0,5000000-10000000,3.99
5,deathmatchclassic,40.0,2001-06-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0.0,1273.0,267.0,258.0,184.0,5000000-10000000,3.99
7,dota2,570.0,2013-07-09,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Action;Free to Play;Strategy,Free to Play;MOBA;Strategy,0.0,863507.0,142079.0,23944.0,801.0,100000000-200000000,0.0
8,halflife,70.0,1998-11-08,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Multi-player;Online Multi-Player;Steam Cloud;Valve Anti-Cheat enabled,Action,FPS;Classic;Action,0.0,27755.0,1100.0,1300.0,83.0,5000000-10000000,7.19
9,halflife2,220.0,2004-11-16,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Includes Source SDK,Action,FPS;Action;Sci-fi,33.0,67902.0,2419.0,691.0,402.0,10000000-20000000,7.19
10,halflife2deathmatch,320.0,2004-11-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK,Action,Action;FPS;Multiplayer,0.0,6020.0,787.0,311.0,32.0,10000000-20000000,3.99
11,halflife2episodeone,380.0,2006-06-01,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,13.0,7908.0,517.0,281.0,184.0,5000000-10000000,5.79
12,halflife2episodetwo,420.0,2007-10-10,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,Action,FPS;Action;Sci-fi,22.0,13902.0,696.0,354.0,301.0,5000000-10000000,5.79
13,halflife2lostcoast,340.0,2005-10-27,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Commentary available,Action,FPS;Action;Singleplayer,0.0,5783.0,1020.0,46.0,29.0,10000000-20000000,0.0
14,halflifeblueshift,130.0,2001-06-01,1.0,Gearbox Software,Valve,windows;mac;linux,0.0,Single-player,Action,FPS;Action;Sci-fi,0.0,3822.0,420.0,361.0,205.0,5000000-10000000,3.99
15,halflifeopposingforce,50.0,1999-11-01,1.0,Gearbox Software,Valve,windows;mac;linux,0.0,Single-player;Multi-player;Valve Anti-Cheat enabled,Action,FPS;Action;Sci-fi,0.0,5250.0,288.0,624.0,415.0,5000000-10000000,3.99
16,portal,400.0,2007-10-10,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Steam Achievements;Captions available;Partial Controller Support;Includes level editor;Includes Source SDK;Commentary available,Action,Puzzle;First-Person;Singleplayer,15.0,51801.0,1080.0,288.0,137.0,10000000-20000000,7.19
17,portal2,620.0,2011-04-18,1.0,Valve,Valve,windows;mac;linux,0.0,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,Action;Adventure,Puzzle;Co-op;First-Person,51.0,138220.0,1891.0,1102.0,520.0,10000000-20000000,7.19
18,ricochet,60.0,2000-11-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Online Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0.0,2758.0,684.0,175.0,10.0,5000000-10000000,3.99
19,teamfortress2,440.0,2007-10-10,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Action;Free to Play,Free to Play;Multiplayer;FPS,520.0,515879.0,34036.0,8495.0,623.0,20000000-50000000,0.0
20,teamfortressclassic,20.0,1999-04-01,1.0,Valve,Valve,windows;mac;linux,0.0,Multi-player;Online Multi-Player;Local Multi-Player;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,0.0,3318.0,633.0,277.0,62.0,5000000-10000000,3.99
22,arma2,33900.0,2009-06-29,1.0,Bohemia Interactive,Bohemia Interactive,windows,0.0,Single-player;Multi-player;Co-op;Captions available;Partial Controller Support;Includes level editor,Action;Simulation;Strategy,Simulation;Military;Action,0.0,1728.0,357.0,752.0,1263.0,1000000-2000000,7.99
23,arma2operationarrowhead,33930.0,2010-06-29,1.0,Bohemia Interactive,Bohemia Interactive,windows,18.0,Single-player;Multi-player;Co-op;Captions available;Partial Controller Support;Includes level editor,Action;Simulation;Strategy,Simulation;Action;Military,0.0,17683.0,1519.0,8488.0,1120.0,2000000-5000000,11.99
25,banished,242920.0,2014-02-18,1.0,Shining Rock Software LLC,Shining Rock Software LLC,windows,0.0,Single-player;Steam Achievements,Indie;Simulation;Strategy,City Builder;Strategy;Simulation,36.0,24653.0,2820.0,1209.0,825.0,1000000-2000000,14.99
26,callofdutyblackops,42700.0,2010-11-08,1.0,Treyarch,Activision,windows,18.0,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,Action,Action;FPS;Zombies,68.0,14201.0,1839.0,2672.0,517.0,2000000-5000000,29.99
28,callofdutymodernwarfare2,10180.0,2009-11-11,1.0,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),windows;mac,0.0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled,Action,Action;FPS;Multiplayer,50.0,30006.0,2826.0,999.0,580.0,5000000-10000000,19.99
32,callofdutyworldatwar,10090.0,2008-11-18,1.0,Treyarch,Activision,windows,16.0,Single-player;Multi-player;Co-op,Action,Zombies;World War II;FPS,0.0,19595.0,1483.0,2331.0,1108.0,1000000-2000000,19.99
33,counterstrikeglobaloffensive,730.0,2012-08-21,1.0,Valve;Hidden Path Entertainment,Valve,windows;mac;linux,0.0,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Action;Free to Play,FPS;Multiplayer;Shooter,167.0,2644404.0,402313.0,22494.0,6502.0,50000000-100000000,0.0
