,name,og_name,appid,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
6,deusexhumanrevolution,Deus Ex Human Revolution,,,,,,,,,,,,,,,,,
21,ageofempiresiihdedition,Age of Empires II HD Edition,,,,,,,,,,,,,,,,,
24,arma2operationarrowheadbetaobsolete,Arma 2 Operation Arrowhead Beta (Obsolete),,,,,,,,,,,,,,,,,
27,callofdutyblackopsmultiplayer,Call of Duty Black Ops - Multiplayer,,,,,,,,,,,,,,,,,
29,callofdutymodernwarfare2multiplayer,Call of Duty Modern Warfare 2 - Multiplayer,,,,,,,,,,,,,,,,,
30,callofdutymodernwarfare3,Call of Duty Modern Warfare 3,,,,,,,,,,,,,,,,,
31,callofdutymodernwarfare3multiplayer,Call of Duty Modern Warfare 3 - Multiplayer,,,,,,,,,,,,,,,,,
37,thiefghost,Thief - Ghost,,,,,,,,,,,,,,,,,
38,thiefopportunist,Thief - Opportunist,,,,,,,,,,,,,,,,,
39,thiefpredator,Thief - Predator,,,,,,,,,,,,,,,,,
40,thiefthebankheist,Thief - The Bank Heist,,,,,,,,,,,,,,,,,
41,thief2,Thief 2,,,,,,,,,,,,,,,,,
46,ageofempiresiihdtheforgotten,Age of Empires II HD The Forgotten,,,,,,,,,,,,,,,,,
49,audiosurf,Audiosurf,,,,,,,,,,,,,,,,,
50,backtothefutureep1itsabouttime,Back to the Future Ep 1 - It's About Time,,,,,,,,,,,,,,,,,
51,backtothefutureep2gettannen,Back to the Future Ep 2 - Get Tannen!,,,,,,,,,,,,,,,,,
52,backtothefutureep3citizenbrown,Back to the Future Ep 3 - Citizen Brown,,,,,,,,,,,,,,,,,
53,backtothefutureep4doublevisions,Back to the Future Ep 4 - Double Visions,,,,,,,,,,,,,,,,,
54,backtothefutureep5outatime,Back to the Future Ep 5 - OUTATIME,,,,,,,,,,,,,,,,,
57,deusexhumanrevolutionthemissinglink,Deus Ex Human Revolution - The Missing Link,,,,,,,,,,,,,,,,,
59,dirt3,DiRT 3,,,,,,,,,,,,,,,,,
60,dirt3completeedition,DiRT 3 Complete Edition,,,,,,,,,,,,,,,,,
61,dirtshowdown,DiRT Showdown,,,,,,,,,,,,,,,,,
64,hectorep1,Hector Ep 1,,,,,,,,,,,,,,,,,
65,hectorep2,Hector Ep 2,,,,,,,,,,,,,,,,,
66,hectorep3,Hector Ep 3,,,,,,,,,,,,,,,,,
67,killerisdead,Killer is Dead,,,,,,,,,,,,,,,,,
72,operationflashpointredriver,Operation Flashpoint Red River,,,,,,,,,,,,,,,,,
76,pokernightattheinventory,Poker Night at the Inventory,,,,,,,,,,,,,,,,,
80,sammax301thepenalzone,Sam & Max 301 The Penal Zone,,,,,,,,,,,,,,,,,
81,sammax302thetombofsammunmak,Sam & Max 302 The Tomb of Sammun-Mak,,,,,,,,,,,,,,,,,
82,sammax303theystolemaxsbrain,Sam & Max 303 They Stole Max's Brain!,,,,,,,,,,,,,,,,,
83,sammax304beyondthealleyofthedolls,Sam & Max 304 Beyond the Alley of the Dolls,,,,,,,,,,,,,,,,,
84,sammax305thecitythatdaresnotsleep,Sam & Max 305 The City that Dares not Sleep,,,,,,,,,,,,,,,,,
87,serioussamclassicthefirstencounter,Serious Sam Classic The First Encounter,,,,,,,,,,,,,,,,,
88,serioussamclassicthesecondencounter,Serious Sam Classic The Second Encounter,,,,,,,,,,,,,,,,,
93,skyrimhighresolutiontexturepack,Skyrim High Resolution Texture Pack,,,,,,,,,,,,,,,,,
95,theelderscrollsvskyrimdawnguard,The Elder Scrolls V Skyrim - Dawnguard,,,,,,,,,,,,,,,,,
96,theelderscrollsvskyrimdragonborn,The Elder Scrolls V Skyrim - Dragonborn,,,,,,,,,,,,,,,,,
97,theelderscrollsvskyrimhearthfire,The Elder Scrolls V Skyrim - Hearthfire,,,,,,,,,,,,,,,,,
98,thewalkingdead,The Walking Dead,,,,,,,,,,,,,,,,,
99,tomclancysghostreconadvancedwarfighter2,Tom Clancy's Ghost Recon Advanced Warfighter 2,,,,,,,,,,,,,,,,,
101,tomclancyssplintercellconviction,Tom Clancy's Splinter Cell Conviction,,,,,,,,,,,,,,,,,
105,wallacegromitep1frightofthebumblebees,Wallace & Gromit Ep 1 Fright of the Bumblebees,,,,,,,,,,,,,,,,,
106,wallacegromitep2thelastresort,Wallace & Gromit Ep 2 The Last Resort,,,,,,,,,,,,,,,,,
107,wallacegromitep3muzzled,Wallace & Gromit Ep 3 Muzzled!,,,,,,,,,,,,,,,,,
108,wallacegromitep4thebogeyman,Wallace & Gromit Ep 4 The Bogey Man,,,,,,,,,,,,,,,,,
111,counterstrikeconditionzerodeletedscenes,Counter-Strike Condition Zero Deleted Scenes,,,,,,,,,,,,,,,,,
112,callofdutymodernwarfare2resurgencepack,Call of Duty Modern Warfare 2 - Resurgence Pack,,,,,,,,,,,,,,,,,
113,callofdutymodernwarfare2stimuluspackage,Call of Duty Modern Warfare 2 Stimulus Package,,,,,,,,,,,,,,,,,
115,insurgencymoderninfantrycombat,Insurgency Modern Infantry Combat,,,,,,,,,,,,,,,,,
127,awesomenauts,Awesomenauts,,,,,,,,,,,,,,,,,
133,bioshockinfiniteseasonpass,BioShock Infinite - Season Pass,,,,,,,,,,,,,,,,,
134,bioshockinfiniteburialatseaepisode1,BioShock Infinite Burial at Sea - Episode 1,,,,,,,,,,,,,,,,,
135,bioshockinfiniteburialatseaepisode2,BioShock Infinite Burial at Sea - Episode 2,,,,,,,,,,,,,,,,,
136,borderlands,Borderlands,,,,,,,,,,,,,,,,,
139,brtallegend,Brtal Legend,,,,,,,,,,,,,,,,,
140,bulletstorm,Bulletstorm,,,,,,,,,,,,,,,,,
141,callofjuarezgunslinger,Call of Juarez Gunslinger,,,,,,,,,,,,,,,,,
147,companyofheroesnewsteamversion,Company of Heroes (New Steam Version),,,,,,,,,,,,,,,,,
153,darksoulsiiseasonpass,DARK SOULS II - Season Pass,,,,,,,,,,,,,,,,,
154,darksoulsiicrownoftheoldironking,DARK SOULS II Crown of the Old Iron King,,,,,,,,,,,,,,,,,
156,darksoulspreparetodieedition,Dark Souls Prepare to Die Edition,,,,,,,,,,,,,,,,,
