,name,og_name
0,alienswarm,Alien Swarm
1,citiesskylines,Cities Skylines
2,counterstrike,Counter-Strike
3,counterstrikesource,Counter-Strike Source
4,dayofdefeat,Day of Defeat
5,deathmatchclassic,Deathmatch Classic
6,deusexhumanrevolution,Deus Ex Human Revolution
7,dota2,Dota 2
8,halflife,Half-Life
9,halflife2,Half-Life 2
10,halflife2deathmatch,Half-Life 2 Deathmatch
11,halflife2episodeone,Half-Life 2 Episode One
12,halflife2episodetwo,Half-Life 2 Episode Two
13,halflife2lostcoast,Half-Life 2 Lost Coast
14,halflifeblueshift,Half-Life Blue Shift
15,halflifeopposingforce,Half-Life Opposing Force
16,portal,Portal
17,portal2,Portal 2
18,ricochet,Ricochet
19,teamfortress2,Team Fortress 2
20,teamfortressclassic,Team Fortress Classic
21,ageofempiresiihdedition,Age of Empires II HD Edition
22,arma2,Arma 2
23,arma2operationarrowhead,Arma 2 Operation Arrowhead
24,arma2operationarrowheadbetaobsolete,Arma 2 Operation Arrowhead Beta (Obsolete)
25,banished,Banished
26,callofdutyblackops,Call of Duty Black Ops
27,callofdutyblackopsmultiplayer,Call of Duty Black Ops - Multiplayer
28,callofdutymodernwarfare2,Call of Duty Modern Warfare 2
29,callofdutymodernwarfare2multiplayer,Call of Duty Modern Warfare 2 - Multiplayer
30,callofdutymodernwarfare3,Call of Duty Modern Warfare 3
31,callofdutymodernwarfare3multiplayer,Call of Duty Modern Warfare 3 - Multiplayer
32,callofdutyworldatwar,Call of Duty World at War
33,counterstrikeglobaloffensive,Counter-Strike Global Offensive
34,riseofnationsextendededition,Rise of Nations Extended Edition
35,thestanleyparable,The Stanley Parable
36,thief,Thief
37,thiefghost,Thief - Ghost
38,thiefopportunist,Thief - Opportunist
39,thiefpredator,Thief - Predator
40,thiefthebankheist,Thief - The Bank Heist
41,thief2,Thief 2
42,thiefdeadlyshadows,Thief Deadly Shadows
43,thiefgold,Thief Gold
44,totalwarattila,Total War ATTILA
45,wormsarmageddon,Worms Armageddon
46,ageofempiresiihdtheforgotten,Age of Empires II HD The Forgotten
47,alanwake,Alan Wake
48,alanwakesamericannightmare,Alan Wake's American Nightmare
49,audiosurf,Audiosurf
50,backtothefutureep1itsabouttime,Back to the Future Ep 1 - It's About Time
51,backtothefutureep2gettannen,Back to the Future Ep 2 - Get Tannen!
52,backtothefutureep3citizenbrown,Back to the Future Ep 3 - Citizen Brown
53,backtothefutureep4doublevisions,Back to the Future Ep 4 - Double Visions
54,backtothefutureep5outatime,Back to the Future Ep 5 - OUTATIME
55,borderlands2,Borderlands 2
56,deusexgameoftheyearedition,Deus Ex Game of the Year Edition
57,deusexhumanrevolutionthemissinglink,Deus Ex Human Revolution - The Missing Link
58,deusexinvisiblewar,Deus Ex Invisible War
59,dirt3,DiRT 3
60,dirt3completeedition,DiRT 3 Complete Edition
61,dirtshowdown,DiRT Showdown
62,ftlfasterthanlight,FTL Faster Than Light
63,farcry3,Far Cry 3
64,hectorep1,Hector Ep 1
65,hectorep2,Hector Ep 2
66,hectorep3,Hector Ep 3
67,killerisdead,Killer is Dead
68,lanoire,L.A. Noire
69,left4dead2,Left 4 Dead 2
70,maxpayne3,Max Payne 3
71,operationflashpointdragonrising,Operation Flashpoint Dragon Rising
72,operationflashpointredriver,Operation Flashpoint Red River
73,overlord,Overlord
74,overlordii,Overlord II
75,overlordraisinghell,Overlord Raising Hell
76,pokernightattheinventory,Poker Night at the Inventory
77,puzzleagent,Puzzle Agent
